School,,Type,State,Reputation,Internet,Opportunity,Clubs,Happiness,Location,Food,Facilities,Social,Safety,Total_Ratings_Submitted,,Overall_Rating
Rivier University,,Private,New Hampshire,3.6,3.2,3.6,2.8,3.7,3.9,2.8,3.7,3.1,4.6,25,,3.5
Franklin Pierce University,,Private,New Hampshire,3.2,2.8,3.6,3.7,3.7,3.3,2.6,3.5,3.5,4,31,,3.4
New England College,,Private,New Hampshire,2.6,2.4,2.8,3,3.1,2.3,2,2.9,2.8,2.2,25,,2.6
Saint Anselm College,,Private,New Hampshire,4.2,2.8,3.9,3.4,3.9,3.6,4.5,4.1,3.5,4.2,74,,3.8
Colby-Sawyer College,,Private,New Hampshire,3.5,2.9,3.3,3.4,3.7,3.1,2.5,4,3.2,4.4,49,,3.4
Antioch University,,Private,New Hampshire,4,3.8,3.8,3.2,4.2,3,2.8,3.1,3.6,4.7,5,,3.6
,,,,,,,,,,,,,,,,
Champlain College,,Private,Vermont,4.1,3.6,4.4,3.6,4.2,4.7,2.7,4,3.5,4.6,100,,3.9
Norwich University,,Private,Vermont,4.1,2.6,3.7,3.5,3.4,2.7,2.4,3.5,2.8,3.6,81,,3.2
Middlebury College,,Private,Vermont,4.8,4.4,4.4,4,4.9,4.3,4.5,4.6,4,5,17,,4.5
"University of Vermont, Burlington",,Public,Vermont,4,3.8,3.9,4,4.4,4.6,3.1,4.1,4,4.4,319,,4
Castleton University,,Public,Vermont,3.4,3.3,3.6,3.3,3.9,3.6,2.9,3.8,3.5,4.8,45,,3.6
Saint Michaels College,,Private,Vermont,4.2,3.8,3.8,4,4.4,4.3,3.1,4.2,4,4.2,61,,4
Bennington College,,Private,Vermont,3.9,2.9,3.8,3,3.8,2.9,3.7,4,3.2,4,20,,3.5
Goddard College,,Private,Vermont,5,4,4,3.8,4,4,3.5,4.3,4,0,4,,
Green Mountain College,,Private,Vermont,3.2,2.7,3.3,3.3,3.6,3.1,2.9,3.9,3.5,4,15,,3.4
Southern Vermont College,,Private,Vermont,3.1,3.3,3,2.6,3.4,3.4,2.6,3.1,2.6,4,7,,3.1
"Northern Vermont University, Johnson",,Public,Vermont,3.1,3.3,3.2,3.4,4.3,3.4,2.6,3.9,2.8,5,16,,3.5
Marlboro College,,Private,Vermont,4.4,3.4,3.6,3.3,4.3,3.4,3.1,4,3.5,3.5,16,,3.7
,,,,,,,,,,,,,,,,
Assumption College,,Private,Massachussetts,4.1,3.4,3.8,3.8,3.9,3.9,3,4,3.7,4.4,72,,3.8
Longy School of Music,,Private,Massachussetts,4,2.4,2.6,1.8,2.8,4.6,1.4,2.7,1.8,4,5,,2.8
Bard College at Simons Rock,,Private,Massachussetts,3.9,2.3,3.1,3,3.8,2.4,2.1,3.3,2.8,3.1,38,,3
Pine Manor College,,Private,Massachussetts,1.9,2.3,2.3,1.9,2,3.4,1.9,2.3,1.9,2,8,,2.2
Benjamin Franklin Institute of Technology,,Private,Massachussetts,3.2,2.4,3.6,2.2,3.8,3.6,1.8,2.9,2.4,3,5,,2.9
"Newbury College, Brookline",,Private,Massachussetts,2.8,2.6,3.1,2.1,3.1,3.6,2.1,2.8,2.4,3.5,14,,2.8
Boston Architectural College,,Private,Massachussetts,1.8,2.4,2.1,1.7,2,4.1,1.3,2.1,1.8,4.3,12,,2.4
Gordon College,,Private,Massachussetts,4.1,3.4,3.9,4,4.8,4.1,3.2,4.1,3.7,5,49,,4
Williams College,,Private,Massachussetts,4.9,4.3,4.6,4,4.3,3.7,3.6,4.5,3.8,4.9,18,,4.3
Becker College,,Private,Massachussetts,3.1,2.6,3,2.9,2.8,2.7,2.1,2.8,2.7,3.1,46,,2.8
Amherst College,,Private,Massachussetts,5,4.1,4.8,3.7,4.2,4,3.1,4.4,3.3,5,31,,4.2
Eastern Nazarene College,,Private,Massachussetts,2.7,1.9,2.6,2.5,2.5,3.7,1.7,3.3,2.5,4.5,17,,2.8
Massachussetts Maritime Academy,,Public,Massachussetts,4.6,2.2,4.5,2.6,3.8,3.6,2.3,3.5,1.8,4.5,22,,3.3
Babson College,,Private,Massachussetts,4.8,4.1,4.5,3.7,4.2,3.5,3.1,4.1,3.5,4.5,65,,4
Clark University,,Private,Massachussetts,4.2,3.6,3.8,4,4.3,2.9,3.1,4,3.8,3.7,100,,3.7
Springfield College,,Private,Massachussetts,3.8,2.8,3.6,3.5,3.9,2.6,3.2,3.7,3.4,2.7,54,,3.3
Fisher College,,Private,Massachussetts,2.3,2.2,2.7,2.6,2.6,4.4,2,2.3,2.3,4.4,29,,2.8
College of the Holy Cross,,Private,Massachussetts,4.8,3.7,4.7,4,4.6,3.6,3.1,4.6,4.1,4.6,85,,4.2
Bay Path University,,Private,Massachussetts,3.5,3.1,3.4,3.3,3.5,3.5,2.7,3.5,2.8,4.6,40,,3.4
Wellesley College,,Private,Massachussetts,4.8,3.8,4.4,3.8,4.1,3.7,3.4,4.4,3.1,4.7,77,,4
Regis College,,Private,Massachussetts,3.5,3.4,3.2,3.1,3.2,3.5,2.3,3.3,2.8,3.5,38,,3.2
Worcester State University,,Public,Massachussetts,3.5,3.3,3.4,3.2,3.7,3.5,2.9,3.5,3.1,4,174,,3.4
Westfield State University,,Public,Massachussetts,3.5,2.6,3.4,3.3,3.5,3.1,2.9,3.5,3.2,4,183,,3.3
Brandeis University,,Private,Massachussetts,4.4,3.8,3.9,4.1,4.2,3.5,2.7,3.7,3.3,4.6,91,,3.8
Worcester Polytechnic Institute,,Private,Massachussetts,4.5,3.8,4.4,3.8,4.3,3.4,2.8,4,3.6,4.2,193,,3.9
Bentley University,,Private,Massachussetts,4.5,4,4.7,3.8,4.4,4.2,2.7,4.3,3.7,4.6,201,,4.1
Berklee College of Music,,Private,Massachussetts,4.8,3.5,4.5,3.7,4.4,4.5,3,3.8,3.8,3.4,152,,3.9
Emerson College,,Private,Massachussetts,4.3,3.4,4.4,4,4,4.7,2.6,3.5,3.4,2.9,117,,3.7
Wentworth Institute of Technology,,Private,Massachussetts,3.8,3.4,4.1,2.9,3.6,4.4,2.3,3.3,2.8,3.1,177,,3.4
Western New England College,,Private,Massachussetts,3.8,3.3,3.7,3.7,4,3.3,3.1,4.1,3.4,4.4,137,,3.7
Boston University,,Private,Massachussetts,4.2,3.8,4.1,4,4,4.5,3.8,3.7,3.8,4,379,,4
Northeastern University,,Private,Massachussetts,4.4,4.2,4.7,3.9,4.4,4.7,3.8,4.2,3.7,4.1,383,,4.2
"UMass, Amherst",,Public,Massachussetts,3.7,3.2,3.9,3.9,4.2,3.7,4.5,4.1,4.1,4.2,577,,4
"UMass, Boston",,Public,Massachussetts,3.4,3.1,3.3,3,3.5,3.7,2.9,3.3,2.8,3.7,328,,3.3
"UMass, Lowell",,Public,Massachussetts,3.7,3.6,3.8,3.5,3.9,3.3,3,3.6,3.3,3.9,298,,3.6
Boston College,,Private,Massachussetts,4.6,3.9,4.1,4.1,4.1,4.3,3.5,4.3,3.8,4.8,76,,
Tufts University,,Private,Massachussetts,4.6,3.9,4.3,4.3,4.4,4.5,4.4,4.3,4,4.1,150,,4.3
UMass Dartmouth,,Public,Massachussetts,3.5,3.1,3.5,3.4,3.7,3.6,2.8,3.4,3.3,3.4,226,,3.4
Framingham State University,,Public,Massachussetts,3.2,2.1,3.1,3.2,3.3,3.6,2.6,3.4,2.8,3.3,103,,3.1
Suffolk University,,Private,Massachussetts,3.6,3.7,4,3.6,4.1,4.6,2.8,3.8,3.4,3.9,242,,3.8
